chrom	start	end	DHB	asym.H3K9me3	asym.methyl	DHS	CTCF	lncRNA	methylated.ZFP57	asym.expression	asym.modification	regulatory.elements	score
chr12	111108800	111110000	smMHB38	3	5	0	0	0	1	1	0.8	0.2	2
chr15	72630800	72633600	smMHB53	5	3	0	0	0	1	1	0.8	0.2	2
chr17	87532900	87534700	smMHB70	5	5	0	0	0	0	1	1	0	2
chr18	80155800	80156800	smMHB73	5	5	0	0	0	0	1	1	0	2
chr3	88044600	88046400	smMHB91	5	5	0	0	0	0	1	1	0	2
chr5	135034500	135036200	smMHB111	3	5	1	0	0	0	1	0.8	0.2	2
chr6	4704200	4706700	smMHB115	3	5	0	0	0	1	1	0.8	0.2	2
chr10	75102200	75104800	smMHB20	5	2	0	0	0	1	1	0.7	0.2	1.9
chr12	114365600	114366400	smMHB40	4	3	0	0	0	1	1	0.7	0.2	1.9
chr13	84376600	84377200	smMHB44	5	4	0	0	0	0	1	0.9	0	1.9
chr4	150518400	150519800	smMHB102	3	4	0	0	0	1	1	0.7	0.2	1.9
chr5	119890200	119891000	smMHB110	4	5	0	0	0	0	1	0.9	0	1.9
chr7	6661300	6664300	smMHB131	4	5	0	0	0	0	1	0.9	0	1.9
chr7	112766300	112768200	smMHB139	5	4	0	0	0	0	1	0.9	0	1.9
chr7	147172200	147174800	smMHB143	5	4	0	0	0	0	1	0.9	0	1.9
chr8	3994000	3997400	smMHB146	4	5	0	0	0	0	1	0.9	0	1.9
chr14	61376800	61380600	smMHB48	3	3	0	0	0	1	1	0.6	0.2	1.8
chr17	66688600	66694200	smMHB68	4	4	0	0	0	0	1	0.8	0	1.8
chr19	46654400	46655400	smMHB77	3	5	0	0	0	0	1	0.8	0	1.8
chr4	32980900	32982000	smMHB94	1	4	0	0	0	1	1	0.5	0.2	1.7
chr7	67300600	67301600	smMHB138	4	3	0	0	0	0	1	0.7	0	1.7
chr8	108948600	108949800	smMHB150	1	4	0	0	1	0	1	0.5	0.2	1.7
chr1	90162200	90163200	smMHB7	3	3	0	0	0	0	1	0.6	0	1.6
chr11	3050100	3051200	smMHB22	2	4	0	0	0	0	1	0.6	0	1.6
chr2	174170800	174172400	smMHB88	3	3	0	0	0	0	1	0.6	0	1.6
chr12	82473500	82474200	smMHB35	4	1	0	0	0	0	1	0.5	0	1.5
chr2	27351000	27352600	smMHB78	0	5	0	0	0	0	1	0.5	0	1.5
chr3	144153000	144153700	smMHB92	2	3	0	0	0	0	1	0.5	0	1.5
chr5	100372900	100373900	smMHB106	1	4	0	0	0	0	1	0.5	0	1.5
chr7	4968800	4969500	smMHB129	1	4	0	0	0	0	1	0.5	0	1.5
chr14	77699100	77700000	smMHB50	4	0	0	0	0	0	1	0.4	0	1.4
chr17	34181600	34183800	smMHB66	2	2	0	0	0	0	1	0.4	0	1.4
chr4	154489800	154493100	smMHB103	1	1	0	0	0	1	1	0.2	0.2	1.4
chr5	138775200	138776200	smMHB113	1	1	0	0	0	1	1	0.2	0.2	1.4
chr6	50146800	50147600	smMHB120	1	3	0	0	0	0	1	0.4	0	1.4
chr9	94293000	94293800	smMHB155	3	1	0	0	0	0	1	0.4	0	1.4
chr12	104991200	104992200	smMHB36	1	2	0	0	0	0	1	0.3	0	1.3
chr15	93298600	93299800	smMHB55	0	3	0	0	0	0	1	0.3	0	1.3
chr15	101025200	101026000	smMHB57	0	3	0	0	0	0	1	0.3	0	1.3
chr19	6247700	6248700	smMHB74	1	2	0	0	0	0	1	0.3	0	1.3
chr1	90166800	90168400	smMHB8	1	1	0	0	0	0	1	0.2	0	1.2
chr11	3724600	3728000	smMHB23	1	1	0	0	0	0	1	0.2	0	1.2
chr16	93789400	93790000	smMHB61	0	2	0	0	0	0	1	0.2	0	1.2
chr8	126800000	126801600	smMHB153	1	1	0	0	0	0	1	0.2	0	1.2
chr1	91040600	91042800	smMHB9	5	4	0	0	0	1	0	0.9	0.2	1.1
chr11	58130000	58131200	smMHB26	5	4	0	0	0	1	0	0.9	0.2	1.1
chr11	107923000	107924000	smMHB29	5	4	0	0	0	1	0	0.9	0.2	1.1
chr12	13442400	13444200	smMHB32	4	5	0	0	0	1	0	0.9	0.2	1.1
chr8	74340400	74343800	smMHB149	1	0	0	0	0	0	1	0.1	0	1.1
chr2	59681200	59682100	smMHB80	5	5	0	0	0	0	0	1	0	1
chr2	165340200	165342600	smMHB85	5	3	0	0	0	1	0	0.8	0.2	1
chr5	118316900	118318400	smMHB109	4	4	0	0	0	1	0	0.8	0.2	1
chr6	101100500	101102000	smMHB124	5	5	0	0	0	0	0	1	0	1
chr6	116191800	116192900	smMHB125	4	4	0	0	0	1	0	0.8	0.2	1
chr6	135682400	135684000	smMHB126	3	5	0	0	1	0	0	0.8	0.2	1
chr7	51379200	51380100	smMHB136	0	0	0	0	0	0	1	0	0	1
chr12	75226800	75227800	smMHB33	4	5	0	0	0	0	0	0.9	0	0.9
chr13	72503500	72504300	smMHB42	4	5	0	0	0	0	0	0.9	0	0.9
chr16	31156100	31158000	smMHB58	5	4	0	0	0	0	0	0.9	0	0.9
chr16	85644400	85645000	smMHB59	4	5	0	0	0	0	0	0.9	0	0.9
chr4	65274400	65276200	smMHB97	4	5	0	0	0	0	0	0.9	0	0.9
chr4	128262400	128267300	smMHB100	5	4	0	0	0	0	0	0.9	0	0.9
chr6	33028200	33029200	smMHB118	4	5	0	0	0	0	0	0.9	0	0.9
chr10	120703900	120705800	smMHB21	2	5	0	0	0	1	0	0.7	0.2	0.9
chr17	74176400	74179600	smMHB69	3	4	0	0	0	1	0	0.7	0.2	0.9
chr5	76048800	76051200	smMHB105	4	3	0	0	0	1	0	0.7	0.2	0.9
chr7	116169100	116170700	smMHB140	3	4	0	0	0	1	0	0.7	0.2	0.9
chr10	69449500	69456100	smMHB18	4	4	0	0	0	0	0	0.8	0	0.8
chr2	179239200	179240000	smMHB89	4	4	0	0	0	0	0	0.8	0	0.8
chr4	63056000	63056800	smMHB96	5	3	0	0	0	0	0	0.8	0	0.8
chr5	106240700	106242600	smMHB107	4	4	0	0	0	0	0	0.8	0	0.8
chr6	50570300	50571800	smMHB121	1	5	0	0	0	1	0	0.6	0.2	0.8
chr6	136348500	136351100	smMHB127	3	5	0	0	0	0	0	0.8	0	0.8
chr14	64080900	64081700	smMHB49	3	2	0	0	0	1	0	0.5	0.2	0.7
chr16	89963600	89964700	smMHB60	2	5	0	0	0	0	0	0.7	0	0.7
chr2	169709100	169711900	smMHB86	4	3	0	0	0	0	0	0.7	0	0.7
chr4	121756000	121757200	smMHB99	3	4	0	0	0	0	0	0.7	0	0.7
chr6	3071000	3071800	smMHB114	2	5	0	0	0	0	0	0.7	0	0.7
chr4	57211600	57212800	smMHB95	2	4	0	0	0	0	0	0.6	0	0.6
chr9	99292600	99295800	smMHB156	2	4	0	0	0	0	0	0.6	0	0.6
chr11	107900800	107902000	smMHB28	1	5	0	0	0	0	0	0.6	0	0.6
chr18	61515600	61518500	smMHB71	3	3	0	0	0	0	0	0.6	0	0.6
chr8	5640000	5640700	smMHB147	1	5	0	0	0	0	0	0.6	0	0.6
chr9	118765600	118767200	smMHB157	3	3	0	0	0	0	0	0.6	0	0.6
chr1	191673600	191675400	smMHB16	3	2	0	0	0	0	0	0.5	0	0.5
chr12	109112400	109113400	smMHB37	2	3	0	0	0	0	0	0.5	0	0.5
chr2	170330300	170331000	smMHB87	3	2	0	0	0	0	0	0.5	0	0.5
chr5	39064400	39066000	smMHB104	2	3	0	0	0	0	0	0.5	0	0.5
chr6	89272600	89274600	smMHB123	3	2	0	0	0	0	0	0.5	0	0.5
chr6	142345600	142348400	smMHB128	1	4	0	0	0	0	0	0.5	0	0.5
chr1	167585900	167587800	smMHB14	1	1	1	0	0	0	0	0.2	0.2	0.4
chr11	114424400	114427800	smMHB30	0	2	1	0	0	0	0	0.2	0.2	0.4
chr12	113306600	113308100	smMHB39	1	3	0	0	0	0	0	0.4	0	0.4
chr13	93648800	93650200	smMHB45	2	2	0	0	0	0	0	0.4	0	0.4
chr17	32724200	32724800	smMHB65	2	2	0	0	0	0	0	0.4	0	0.4
chr19	9792200	9793000	smMHB76	2	2	0	0	0	0	0	0.4	0	0.4
chr3	49186200	49187200	smMHB90	0	4	0	0	0	0	0	0.4	0	0.4
chr7	24887500	24891600	smMHB135	0	4	0	0	0	0	0	0.4	0	0.4
chr8	3389800	3390800	smMHB145	1	1	0	0	0	1	0	0.2	0.2	0.4
chr1	46558100	46559000	smMHB4	1	2	0	0	0	0	0	0.3	0	0.3
chr1	179899500	179900400	smMHB15	1	2	0	0	0	0	0	0.3	0	0.3
chr11	88526400	88527800	smMHB27	2	1	0	0	0	0	0	0.3	0	0.3
chr14	107957200	107957800	smMHB51	2	1	0	0	0	0	0	0.3	0	0.3
chr15	7200200	7201400	smMHB52	2	1	0	0	0	0	0	0.3	0	0.3
chr16	96037000	96038200	smMHB62	1	2	0	0	0	0	0	0.3	0	0.3
chr4	73222500	73223200	smMHB98	2	1	0	0	0	0	0	0.3	0	0.3
chr1	94117200	94117900	smMHB10	0	0	0	0	0	1	0	0	0.2	0.2
chr18	69319000	69319600	smMHB72	2	0	0	0	0	0	0	0.2	0	0.2
chr2	58574600	58575600	smMHB79	1	1	0	0	0	0	0	0.2	0	0.2
chr4	24196800	24197600	smMHB93	1	1	0	0	0	0	0	0.2	0	0.2
chr7	11532000	11532600	smMHB133	1	1	0	0	0	0	0	0.2	0	0.2
chr8	121288400	121289200	smMHB151	1	1	0	0	0	0	0	0.2	0	0.2
chr1	17412400	17413200	smMHB2	1	0	0	0	0	0	0	0.1	0	0.1
chr1	149941200	149942000	smMHB12	0	1	0	0	0	0	0	0.1	0	0.1
chr13	29439400	29440200	smMHB41	0	1	0	0	0	0	0	0.1	0	0.1
chr14	8514800	8515400	smMHB46	0	1	0	0	0	0	0	0.1	0	0.1
chr14	53136800	53137400	smMHB47	0	1	0	0	0	0	0	0.1	0	0.1
chr19	9643800	9644400	smMHB75	1	0	0	0	0	0	0	0.1	0	0.1
chr2	90153400	90154000	smMHB82	1	0	0	0	0	0	0	0.1	0	0.1
chr5	117253200	117254000	smMHB108	0	1	0	0	0	0	0	0.1	0	0.1
chr1	17008200	17008800	smMHB1	0	0	0	0	0	0	0	0	0	0
chr1	154260400	154262200	smMHB13	0	0	0	0	0	0	0	0	0	0
chr10	70247300	70248300	smMHB19	0	0	0	0	0	0	0	0	0	0
chr13	81724800	81725600	smMHB43	0	0	0	0	0	0	0	0	0	0
chr17	30636600	30637200	smMHB64	0	0	0	0	0	0	0	0	0	0
chr2	82043500	82044200	smMHB81	0	0	0	0	0	0	0	0	0	0
chr8	18073000	18073600	smMHB148	0	0	0	0	0	0	0	0	0	0
chr9	39038600	39039200	smMHB154	0	0	0	0	0	0	0	0	0	0
