chrom	start	end	DHB	asym.H3K9me3	asym.methyl	DHS	CTCF	lncRNA	methylated.ZFP57	asym.expression	asym.modification	regulatory.elements	score
chr8	127939000	127939800	spMHB324	2	5	0	0	0	0	0	0.7	0	0.7
chr1	184803000	184804600	spMHB26	2	4	0	0	0	0	0	0.6	0	0.6
chr10	113010800	113013800	spMHB44	2	2	0	0	0	1	0	0.4	0.2	0.6
chr19	44787600	44788200	spMHB161	1	3	0	0	0	1	0	0.4	0.2	0.6
chr2	88939800	88941800	spMHB175	2	2	0	0	0	1	0	0.4	0.2	0.6
chr3	57060800	57061800	spMHB196	1	3	0	0	0	1	0	0.4	0.2	0.6
chr4	24047800	24049900	spMHB211	3	1	0	0	0	1	0	0.4	0.2	0.6
chr4	139876800	139879000	spMHB225	0	4	0	0	1	0	0	0.4	0.2	0.6
chr5	112376600	112379400	spMHB252	0	4	0	0	0	1	0	0.4	0.2	0.6
chr7	55047500	55051300	spMHB296	3	1	0	0	0	1	0	0.4	0.2	0.6
chr9	36456800	36458200	spMHB333	2	4	0	0	0	0	0	0.6	0	0.6
chr1	65616200	65617500	spMHB9	3	3	0	0	0	0	0	0.6	0	0.6
chr17	60557600	60559900	spMHB136	3	3	0	0	0	0	0	0.6	0	0.6
chr6	10437400	10440000	spMHB259	3	3	0	0	0	0	0	0.6	0	0.6
chr11	12821400	12823000	spMHB52	2	3	0	0	0	0	0	0.5	0	0.5
chr11	14470400	14471600	spMHB53	2	1	0	0	0	1	0	0.3	0.2	0.5
chr13	25317600	25318400	spMHB76	3	2	0	0	0	0	0	0.5	0	0.5
chr15	83524500	83532700	spMHB111	0	5	0	0	0	0	0	0.5	0	0.5
chr16	64572400	64573200	spMHB121	4	1	0	0	0	0	0	0.5	0	0.5
chr17	15440800	15443600	spMHB130	2	3	0	0	0	0	0	0.5	0	0.5
chr17	92503000	92503600	spMHB141	1	4	0	0	0	0	0	0.5	0	0.5
chr18	74553200	74557600	spMHB154	2	3	0	0	0	0	0	0.5	0	0.5
chr18	90728600	90729800	spMHB156	1	2	0	0	0	1	0	0.3	0.2	0.5
chr19	49251200	49252200	spMHB162	4	1	0	0	0	0	0	0.5	0	0.5
chr2	169391700	169393500	spMHB182	0	5	0	0	0	0	0	0.5	0	0.5
chr2	178311600	178312400	spMHB185	1	2	0	0	0	1	0	0.3	0.2	0.5
chr4	9637800	9640000	spMHB209	1	2	0	0	0	1	0	0.3	0.2	0.5
chr4	61223600	61226800	spMHB216	2	1	0	0	0	1	0	0.3	0.2	0.5
chr4	122339800	122340800	spMHB223	1	2	0	0	0	1	0	0.3	0.2	0.5
chr5	101154000	101156400	spMHB250	1	4	0	0	0	0	0	0.5	0	0.5
chr6	19724200	19726800	spMHB260	1	2	0	0	0	1	0	0.3	0.2	0.5
chr6	125199500	125202300	spMHB276	1	4	0	0	0	0	0	0.5	0	0.5
chr7	37780400	37781200	spMHB292	0	5	0	0	0	0	0	0.5	0	0.5
chr7	83186400	83188800	spMHB297	2	1	0	0	0	1	0	0.3	0.2	0.5
chr7	132729800	132730800	spMHB303	1	4	0	0	0	0	0	0.5	0	0.5
chr8	83038100	83040000	spMHB319	0	3	0	0	1	0	0	0.3	0.2	0.5
chr8	98521600	98523100	spMHB322	2	3	0	0	0	0	0	0.5	0	0.5
chr1	39576000	39576800	spMHB5	0	4	0	0	0	0	0	0.4	0	0.4
chr1	47127400	47128000	spMHB7	1	3	0	0	0	0	0	0.4	0	0.4
chr1	49360200	49361200	spMHB8	3	1	0	0	0	0	0	0.4	0	0.4
chr1	183643600	183646000	spMHB25	2	2	0	0	0	0	0	0.4	0	0.4
chr10	65770200	65773200	spMHB35	1	1	0	0	0	1	0	0.2	0.2	0.4
chr10	86869800	86872000	spMHB41	1	1	0	0	0	1	0	0.2	0.2	0.4
chr13	28305800	28307800	spMHB78	3	1	0	0	0	0	0	0.4	0	0.4
chr13	80629000	80631600	spMHB81	3	1	0	0	0	0	0	0.4	0	0.4
chr14	45079400	45081800	spMHB93	1	1	0	0	0	1	0	0.2	0.2	0.4
chr15	23753800	23755200	spMHB104	2	2	0	0	0	0	0	0.4	0	0.4
chr16	31088000	31090300	spMHB118	1	1	0	0	0	1	0	0.2	0.2	0.4
chr17	39624800	39627200	spMHB133	4	0	0	0	0	0	0	0.4	0	0.4
chr17	54899200	54901400	spMHB135	1	1	0	0	0	1	0	0.2	0.2	0.4
chr18	3975400	3976800	spMHB143	1	3	0	0	0	0	0	0.4	0	0.4
chr18	16447200	16447800	spMHB146	3	1	0	0	0	0	0	0.4	0	0.4
chr19	12618200	12619800	spMHB159	1	3	0	0	0	0	0	0.4	0	0.4
chr2	19635000	19635800	spMHB166	2	2	0	0	0	0	0	0.4	0	0.4
chr2	33911800	33913200	spMHB169	0	4	0	0	0	0	0	0.4	0	0.4
chr2	172891800	172894400	spMHB183	0	2	0	0	0	1	0	0.2	0.2	0.4
chr2	173544400	173545200	spMHB184	1	3	0	0	0	0	0	0.4	0	0.4
chr3	23467000	23468600	spMHB189	2	2	0	0	0	0	0	0.4	0	0.4
chr4	70532100	70533000	spMHB218	4	0	0	0	0	0	0	0.4	0	0.4
chr5	59039000	59041200	spMHB237	2	2	0	0	0	0	0	0.4	0	0.4
chr6	26197500	26198300	spMHB263	3	1	0	0	0	0	0	0.4	0	0.4
chr6	107240000	107240800	spMHB274	2	2	0	0	0	0	0	0.4	0	0.4
chr7	5689100	5691600	spMHB280	0	4	0	0	0	0	0	0.4	0	0.4
chr7	17356600	17357800	spMHB283	1	3	0	0	0	0	0	0.4	0	0.4
chr7	93157400	93158400	spMHB298	0	2	0	0	0	1	0	0.2	0.2	0.4
chr8	19527400	19530200	spMHB312	1	3	0	0	0	0	0	0.4	0	0.4
chr9	6583400	6585400	spMHB325	1	1	0	0	0	1	0	0.2	0.2	0.4
chr9	19030600	19031600	spMHB330	1	3	0	0	0	0	0	0.4	0	0.4
chr1	28306000	28308200	spMHB2	2	1	0	0	0	0	0	0.3	0	0.3
chr1	101531600	101532400	spMHB15	1	0	0	0	0	1	0	0.1	0.2	0.3
chr1	123166300	123167100	spMHB16	2	1	0	0	0	0	0	0.3	0	0.3
chr1	165606200	165608600	spMHB22	2	1	0	0	0	0	0	0.3	0	0.3
chr1	169935400	169937000	spMHB23	1	0	0	0	1	0	0	0.1	0.2	0.3
chr1	180433600	180434400	spMHB24	1	2	0	0	0	0	0	0.3	0	0.3
chr10	48403000	48403600	spMHB30	1	2	0	0	0	0	0	0.3	0	0.3
chr10	49904100	49904800	spMHB31	2	1	0	0	0	0	0	0.3	0	0.3
chr10	52170700	52171400	spMHB32	0	1	0	0	1	0	0	0.1	0.2	0.3
chr11	7741400	7746000	spMHB49	1	2	0	0	0	0	0	0.3	0	0.3
chr11	10757200	10757800	spMHB50	2	1	0	0	0	0	0	0.3	0	0.3
chr11	11242700	11243400	spMHB51	2	1	0	0	0	0	0	0.3	0	0.3
chr11	47607800	47608600	spMHB56	2	1	0	0	0	0	0	0.3	0	0.3
chr13	3158400	3162000	spMHB70	1	2	0	0	0	0	0	0.3	0	0.3
chr13	5146200	5147200	spMHB72	2	1	0	0	0	0	0	0.3	0	0.3
chr14	7491400	7500600	spMHB88	0	1	0	0	0	1	0	0.1	0.2	0.3
chr14	11517400	11518200	spMHB89	2	1	0	0	0	0	0	0.3	0	0.3
chr14	95380800	95381600	spMHB95	2	1	0	0	0	0	0	0.3	0	0.3
chr14	112795400	112796000	spMHB98	1	2	0	0	0	0	0	0.3	0	0.3
chr15	20466800	20467800	spMHB103	2	1	0	0	0	0	0	0.3	0	0.3
chr15	36608800	36609600	spMHB108	1	2	0	0	0	0	0	0.3	0	0.3
chr16	89710400	89712400	spMHB123	1	2	0	0	0	0	0	0.3	0	0.3
chr17	42209200	42209900	spMHB134	2	1	0	0	0	0	0	0.3	0	0.3
chr18	74453000	74455600	spMHB153	1	2	0	0	0	0	0	0.3	0	0.3
chr19	12446200	12446800	spMHB158	2	1	0	0	0	0	0	0.3	0	0.3
chr2	39748200	39749000	spMHB170	2	1	0	0	0	0	0	0.3	0	0.3
chr2	52194200	52194800	spMHB171	1	2	0	0	0	0	0	0.3	0	0.3
chr2	107796400	107797600	spMHB176	1	2	0	0	0	0	0	0.3	0	0.3
chr3	31725600	31726200	spMHB191	2	1	0	0	0	0	0	0.3	0	0.3
chr4	8062600	8064300	spMHB208	1	2	0	0	0	0	0	0.3	0	0.3
chr4	54233500	54234100	spMHB214	2	1	0	0	0	0	0	0.3	0	0.3
chr5	60548000	60548800	spMHB238	2	1	0	0	0	0	0	0.3	0	0.3
chr6	133211800	133213400	spMHB277	0	1	0	0	0	1	0	0.1	0.2	0.3
chr7	33942600	33943800	spMHB290	1	2	0	0	0	0	0	0.3	0	0.3
chr8	17339000	17341400	spMHB310	1	0	0	0	0	1	0	0.1	0.2	0.3
chr8	38727600	38728600	spMHB315	2	1	0	0	0	0	0	0.3	0	0.3
chr8	46575000	46575800	spMHB316	2	1	0	0	0	0	0	0.3	0	0.3
chr9	101065400	101066000	spMHB342	2	1	0	0	0	0	0	0.3	0	0.3
chr1	146071600	146072400	spMHB21	0	3	0	0	0	0	0	0.3	0	0.3
chr11	40447300	40448200	spMHB55	0	3	0	0	0	0	0	0.3	0	0.3
chr15	69226400	69227200	spMHB109	3	0	0	0	0	0	0	0.3	0	0.3
chr16	93993200	93993800	spMHB126	0	3	0	0	0	0	0	0.3	0	0.3
chr17	88304400	88305600	spMHB140	0	3	0	0	0	0	0	0.3	0	0.3
chr3	3068400	3070200	spMHB186	3	0	0	0	0	0	0	0.3	0	0.3
chr4	61665000	61665800	spMHB217	0	3	0	0	0	0	0	0.3	0	0.3
chr5	62529800	62530400	spMHB239	3	0	0	0	0	0	0	0.3	0	0.3
chr7	96036600	96037200	spMHB299	0	3	0	0	0	0	0	0.3	0	0.3
chr1	128524600	128526400	spMHB19	1	1	0	0	0	0	0	0.2	0	0.2
chr1	140128200	140128800	spMHB20	1	1	0	0	0	0	0	0.2	0	0.2
chr1	195906600	195907400	spMHB27	1	1	0	0	0	0	0	0.2	0	0.2
chr10	55995600	55996400	spMHB34	0	2	0	0	0	0	0	0.2	0	0.2
chr10	121716800	121719600	spMHB45	2	0	0	0	0	0	0	0.2	0	0.2
chr10	125151800	125152600	spMHB46	0	2	0	0	0	0	0	0.2	0	0.2
chr11	14745200	14746000	spMHB54	1	1	0	0	0	0	0	0.2	0	0.2
chr11	66519800	66520400	spMHB57	0	2	0	0	0	0	0	0.2	0	0.2
chr12	12338000	12340200	spMHB60	1	1	0	0	0	0	0	0.2	0	0.2
chr12	15430400	15431000	spMHB61	0	2	0	0	0	0	0	0.2	0	0.2
chr12	23324800	23327400	spMHB62	0	0	0	0	0	1	0	0	0.2	0.2
chr12	24704400	24707800	spMHB63	0	0	0	0	0	1	0	0	0.2	0.2
chr12	45029800	45030600	spMHB64	0	2	0	0	0	0	0	0.2	0	0.2
chr13	17239500	17240100	spMHB73	1	1	0	0	0	0	0	0.2	0	0.2
chr13	19055600	19056400	spMHB74	1	1	0	0	0	0	0	0.2	0	0.2
chr13	108149800	108150400	spMHB83	1	1	0	0	0	0	0	0.2	0	0.2
chr15	3069200	3070200	spMHB99	0	0	0	0	0	1	0	0	0.2	0.2
chr15	11104200	11105000	spMHB101	1	1	0	0	0	0	0	0.2	0	0.2
chr15	24598200	24599200	spMHB105	1	1	0	0	0	0	0	0.2	0	0.2
chr17	13560200	13561600	spMHB129	0	2	0	0	0	0	0	0.2	0	0.2
chr17	18874600	18875200	spMHB131	1	1	0	0	0	0	0	0.2	0	0.2
chr18	45377000	45378200	spMHB150	1	1	0	0	0	0	0	0.2	0	0.2
chr2	7515600	7516300	spMHB164	1	1	0	0	0	0	0	0.2	0	0.2
chr2	19836400	19837000	spMHB167	0	2	0	0	0	0	0	0.2	0	0.2
chr2	111191000	111191800	spMHB177	1	1	0	0	0	0	0	0.2	0	0.2
chr2	168199400	168200400	spMHB180	0	2	0	0	0	0	0	0.2	0	0.2
chr3	26821400	26822200	spMHB190	2	0	0	0	0	0	0	0.2	0	0.2
chr3	39073200	39075600	spMHB193	0	2	0	0	0	0	0	0.2	0	0.2
chr3	45389600	45390400	spMHB194	1	1	0	0	0	0	0	0.2	0	0.2
chr3	93423800	93424400	spMHB200	1	1	0	0	0	0	0	0.2	0	0.2
chr3	97245400	97246200	spMHB201	0	2	0	0	0	0	0	0.2	0	0.2
chr3	133611200	133611800	spMHB204	0	2	0	0	0	0	0	0.2	0	0.2
chr3	133639800	133640600	spMHB205	1	1	0	0	0	0	0	0.2	0	0.2
chr5	46685000	46685800	spMHB234	1	1	0	0	0	0	0	0.2	0	0.2
chr5	74250800	74251400	spMHB241	1	1	0	0	0	0	0	0.2	0	0.2
chr5	149395700	149396800	spMHB257	0	2	0	0	0	0	0	0.2	0	0.2
chr6	36661000	36661600	spMHB265	1	1	0	0	0	0	0	0.2	0	0.2
chr6	57149400	57150400	spMHB267	2	0	0	0	0	0	0	0.2	0	0.2
chr6	146396000	146399000	spMHB279	2	0	0	0	0	0	0	0.2	0	0.2
chr7	50031000	50031800	spMHB294	0	2	0	0	0	0	0	0.2	0	0.2
chr8	38373800	38375400	spMHB314	1	1	0	0	0	0	0	0.2	0	0.2
chr9	7494600	7495200	spMHB326	1	1	0	0	0	0	0	0.2	0	0.2
chr9	12841600	12842200	spMHB328	1	1	0	0	0	0	0	0.2	0	0.2
chr9	19405600	19406200	spMHB331	2	0	0	0	0	0	0	0.2	0	0.2
chr9	59024300	59025200	spMHB335	0	2	0	0	0	0	0	0.2	0	0.2
chr9	67896000	67896800	spMHB336	0	2	0	0	0	0	0	0.2	0	0.2
chr9	74187300	74188000	spMHB337	1	1	0	0	0	0	0	0.2	0	0.2
chr9	85833200	85834800	spMHB338	0	2	0	0	0	0	0	0.2	0	0.2
chr1	28964400	28965200	spMHB3	1	0	0	0	0	0	0	0.1	0	0.1
chr1	123933800	123934600	spMHB17	1	0	0	0	0	0	0	0.1	0	0.1
chr1	124849600	124850400	spMHB18	0	1	0	0	0	0	0	0.1	0	0.1
chr10	55863800	55864400	spMHB33	0	1	0	0	0	0	0	0.1	0	0.1
chr10	72153600	72154400	spMHB37	0	1	0	0	0	0	0	0.1	0	0.1
chr10	73706200	73706800	spMHB38	1	0	0	0	0	0	0	0.1	0	0.1
chr12	55700000	55700600	spMHB65	0	1	0	0	0	0	0	0.1	0	0.1
chr13	46174400	46175200	spMHB80	1	0	0	0	0	0	0	0.1	0	0.1
chr14	3277200	3280300	spMHB85	0	1	0	0	0	0	0	0.1	0	0.1
chr14	3864100	3867200	spMHB86	0	1	0	0	0	0	0	0.1	0	0.1
chr14	4704400	4706500	spMHB87	0	1	0	0	0	0	0	0.1	0	0.1
chr14	14755600	14756400	spMHB90	1	0	0	0	0	0	0	0.1	0	0.1
chr14	67561200	67562000	spMHB94	0	1	0	0	0	0	0	0.1	0	0.1
chr14	110891400	110892200	spMHB97	1	0	0	0	0	0	0	0.1	0	0.1
chr15	20204800	20207200	spMHB102	1	0	0	0	0	0	0	0.1	0	0.1
chr18	44059600	44060200	spMHB149	0	1	0	0	0	0	0	0.1	0	0.1
chr19	43193000	43193600	spMHB160	0	1	0	0	0	0	0	0.1	0	0.1
chr2	54738200	54739000	spMHB172	1	0	0	0	0	0	0	0.1	0	0.1
chr2	67112800	67113600	spMHB173	0	1	0	0	0	0	0	0.1	0	0.1
chr3	4170200	4171000	spMHB187	0	1	0	0	0	0	0	0.1	0	0.1
chr3	56824800	56825600	spMHB195	1	0	0	0	0	0	0	0.1	0	0.1
chr3	64764400	64765000	spMHB198	1	0	0	0	0	0	0	0.1	0	0.1
chr3	98205600	98206400	spMHB202	1	0	0	0	0	0	0	0.1	0	0.1
chr3	137113200	137113800	spMHB206	1	0	0	0	0	0	0	0.1	0	0.1
chr4	5283300	5283900	spMHB207	1	0	0	0	0	0	0	0.1	0	0.1
chr4	110296000	110296600	spMHB221	0	1	0	0	0	0	0	0.1	0	0.1
chr4	121028000	121029000	spMHB222	1	0	0	0	0	0	0	0.1	0	0.1
chr5	10162800	10164800	spMHB230	0	1	0	0	0	0	0	0.1	0	0.1
chr5	26397800	26401600	spMHB231	1	0	0	0	0	0	0	0.1	0	0.1
chr5	53081200	53084000	spMHB235	0	1	0	0	0	0	0	0.1	0	0.1
chr5	78432200	78432800	spMHB246	0	1	0	0	0	0	0	0.1	0	0.1
chr6	9381000	9381800	spMHB258	1	0	0	0	0	0	0	0.1	0	0.1
chr6	19909200	19910800	spMHB261	0	1	0	0	0	0	0	0.1	0	0.1
chr6	27178000	27178800	spMHB264	0	1	0	0	0	0	0	0.1	0	0.1
chr6	60249000	60249800	spMHB268	0	1	0	0	0	0	0	0.1	0	0.1
chr6	80329000	80329600	spMHB269	1	0	0	0	0	0	0	0.1	0	0.1
chr6	103198600	103199200	spMHB273	0	1	0	0	0	0	0	0.1	0	0.1
chr7	9584000	9586600	spMHB282	1	0	0	0	0	0	0	0.1	0	0.1
chr7	32984800	32985400	spMHB289	0	1	0	0	0	0	0	0.1	0	0.1
chr9	15176000	15176800	spMHB329	0	1	0	0	0	0	0	0.1	0	0.1
